firm	domain	emails	context	status
Birdsey Commercial	birdseygroup.com		Expectations Learn More &nbsp; Birdsey Group Partnership and Professionalism Learn More &nbsp; Birdsey Group W || s and lease audits for 5 apartment portfolio acquisition totaling 1,050 units/leases. &#8220; Inc. Magazine re || rd Birdsey III Sandford Birdsey Mr. Birdsey, President and CEO of The Birdsey Group, LLC, has over 22 years ex || stablishing Birdsey Group, he was the Senior Managing Director &#8211; Capital Markets, and Managing Director || CM/MortgageRamp. He also spent five years as Director of Real Estate with Univest Financial Services, LLC, an || oned portfolio CMBS transactions and B piece acquisitions for clients such as Blackrock Capital/UBS, Bank of A || ephen Harris Corey	NAMES-ONLY
Allied Real Estate	alliedre.com	operations@alliedre.com	nt Sales Structured Financing Capital &#038; Development Meet Our Team In The News Research Contact jQuery(doc || &amp; Development Michelle Fude Senior Vice President | Partner Grant Hartman First Vice President | Partner || ome Meet Our Team Meet Our Team The founding partners of Allied have over 50 years of experience in the Commer || t Vice President | Partner Stephanie Waldeck Director of Marketing Jake Nolan First Vice President Ryan McHugh || nt Sales Structured Financing Capital &#038; Development Meet Our Team In The News Research Contact .banner-in || pital &amp; Development Michelle Fude Senior Vice President | Partner Grant Hartman First Vice President | Par || nt Sales Structure	EMAIL
United Properties	uproperties.com		king, future-changing commercial real estate development and investment in Minnesota, Texas and Colorado with || nline Counseling &times; 2021 ABJ Commercial Development Firms List #10 Received 20 months after entering Aust || nt Director Learn More Lynn Camp Senior Vice President, Finance &amp; Compliance Learn More Karla Carlson Exec || Our team has an extensive background in both development and property ownership/asset management. Working out || lopment Director Learn More Lynn Camp Senior Vice President, Finance &amp; Compliance Learn More Karla Carlson || resident, Accounting Learn More Chris Pohlad Chief of Staff Learn More Kevin Powell Vice President, Technology || ust our buildings.	NAMES-ONLY
Oppidan Investment Company	oppidan.com		eet Our Staff Testimonials Awards Charitable Partners Career Opportunities Contact Services Development Capita || Oppidan: Commercial Property Development, Management and Capital Markets WebFont.load({ typekit: { id: "keh6h || rtners Career Opportunities Contact Services Development Capital Markets Asset Management Property Management	NAMES-ONLY
Urban Foundry Architecture	urbanfoundryarchitecture.com		,"storesFixPricingPrefixLayout":"B","ecomShowEstimateDeliveryOnSubdivisionError":"B","specs.stores.ProductPage	NAMES-ONLY
Tri Arc Design Studios	triarcdesign.com		siness Administrator Jill Hamblen, AIA Owner/Principal Jon Hanna, AIA Senior Project Manager Jordyn Winiarz St || l Schmidt Project Manager Shannon Hanna, AIA Director of Operations 3333 E Indian School Rd Phoenix, Arizona 8 || nparalleled success. Jill Hamblen, AIA Owner/Principal Nicole Johnson Operations Manager Shannon Hanna, AIA Di || with us, theyΓÇÖre more than just a business partner; they become part of our family. ThatΓÇÖs why we get to k || ohnson Operations Manager Shannon Hanna, AIA Director of Operations Lauren Kelly Engagement Manager A DEEP BEN	NAMES-ONLY
SCF Architecture	scf-arch.com			NONE
Revel Architecture and Design	revelers.com	info@revelers.com	ott Clement Named CEO and Gary Nichols Named President california pacific orthopedics san francisco, ca Work c || pen-office to class-A lab space. &#8212; Sr. Director of Global Workplace confidential law firm san francisco, || en communication and trust, we build lasting partnerships that allow us to turn ambitious visions into reality	EMAIL
McCarthy Nordburg	mccarthynordburg.com			NONE
KDA Architects	kd-arch.com	office@kd-arch.com	had a great time!&rdquo; Matthew G. Anderson President & CEO, The Osborn &ldquo;I have so enjoyed working with || ith KDA has been excellent. They are a great partner and are very responsive, talented, and thoughtful.&rdquo; || Interior Designer View Bio David Fowles, AIA Principal View Bio Charlotte Holding Staff Architect View Bio Kri || o participate in committees and professional development programs. Regional Experience KDA Architects provides	EMAIL
Hobbs Black Architects	hobbs-black.com		74c383108029 { } } Chief Executive Officer | President #block-59364d569554e174c64d { --stroke-style: none;--st || ment, serving as a Senior Vice President and Director of Business Development. She has been a manager, a leade || has played a pivotal role in its growth and development, serving as a Senior Vice President and Director of B || growth and development, serving as a Senior Vice President and Director of Business Development. She has been || center; } #block-6a8298a174c383108029 { } } Chief Executive Officer | President #block-59364d569554e174c64d {	NAMES-ONLY
GTM Architects	gtmarchitects.com	marketing@gtmarchitects.com;ask@gtmarchitects.com	ont-weight: 500; } .news-intro.g-detail-new--principal .g-detail-new--doble .g-content--doble__right .text { p || ": "AEC Experts in Branding, Web Design, Web Development & Maintenance Services" } } window.dataLayer = window	EMAIL
Fitzsimmons Architects	fitzsimmons-arch.com	info@fitzsimmons-arch.com	full-service architecture and design firm We partner with clients to plan, design, and successfully navigate c	EMAIL
Environmental Design Group	envdesigngroup.com		ils &amp; Active Transportation Right-of-Way Acquisition Economic Development Projects Resources Careers Conta || ayer','GTM-W8VH2WT'); .has-service-icon.site-development-icon::before { background-image: url('https://www.env	NAMES-ONLY
Emergent Architecture	emergentarch.com	jim@emergentarch.com;jennifer@emergentarch.com;jeremy@emergentarch.com;mark@emergentarch.com;patty@emergentarch.com;marcelo@emergentarch.com;cheyenne@emergentarch.com;sjansen@emergentarch.com;vsairamesh@emergentarch.com;bkubik@emergentarch.com;neil@emergentarch.com;gary@emergentarch.com;becca@emergentarch.com;heather@emergentarch.com;derek@emergentarch.com;jd@emergentarch.com;gpeters@emergentarch.com;jaymi@emergentarch.com;tara@emergentarch.com;ted@emergentarch.com;justin@emergentarch.com;niccolo@emergentarch.com;gabe@emergentarch.com;nick@emergentarch.com;nugent@emergentarch.com;bstark@emergentarch.com;jesse@emergentarch.com;amanda@emergentarch.com	etch to final walkthrough, we build creative partnerships and community spaces through thoughtful architecture || gress Linn County Secondary Road Main Shop Redevelopment Marion Education In Progress Xavier Catholic Middle S || Committee, and CSI, and previously served as President of the Student Club at Iowa State University. Leadershi || et Your Dedicated Team Nick Hildebrandt CEO, Principal Architect Guitar Guy & All-State Singer Nick Hildebrand || hrough events, conversations, and meaningful partnerships. Nick is proud of many accomplishments, including th || ng the change she wants to see. Ted Friesner Director of Technical Practice Golf clubs and good perspective Te || through construc	EMAIL
GFD Design Group	designwithgfd.com			NONE
Corporate Design Group	corporatedesigngroup.com	cdginfo@corporatedesigngroup.com		EMAIL
CDH Partners	cdhpartners.com	hello@cdhpartners.com;jarrete.burckhalter@cdhpartners.com;melissa.cantrell@cdhpartners.com;jamie.case@cdhpartners.com;mary.lindeman@cdhpartners.com;courtney.santry@cdhpartners.com;bill.leggett@cdhpartners.com;jonathan.fallin@cdhpartners.com;david.strickland@cdhpartners.com	Home - CDH Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"WebPage","@id":"https:\/\/cdhpartn || DH Partners Welcomes Jarrette Burckhalter as Chief Operating Officer Building the Future: CDH Partners Welcome || Page not found - CDH Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"WebSite","@id":"https:\/ || About Us - CDH Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"WebPage","@id":"https:\/\/cdhp || Passion Design matters. Through design, our founders knew we could help our communities thrive. CDH Partners || our team of experts Melissa Cantrell CEO and President, Principal, Owner Linkedin-in Envelope Jamie Case Princ || experts Melissa Cantr	EMAIL
CAWLEY Architects	cawleyarchitects.com		st structureΓÇ¥ &mdash; Dr. Dennis J. Tyner, President, Ottawa University Arizona ΓÇ£The Cawley team produced || as our designer.ΓÇ¥ &mdash; David Giannetto, Principal, Felix Construction I absolutely LOVE the design you cr || ur teamΓÇÖs hard work. &mdash; Ginny Jontes, Founder/President HeidiΓÇÖs Village Animal Shelter ΓÇ£The Cawley || onal Retail &amp; Restaurants Multi-Family Redevelopment Automotive Office On the Boards Felix Construction Ot || ed proposal with images, time lines and cost estimates as a part of our design process. We are among the Valle || chitects elevates veteran leaders to CEO and president Leaders of Cawley Architects Talk Impact of Technology	NAMES-ONLY
Caryatid Architecture	caryatidarch.com	sarichardson@caryatidarch.com	a Ashley Richardson, AIA, is the founder and principal owner of Caryatid Architecture Company, a full-service || Thoughtful Design. Exceptional Expertise. A Partner You Can Trust. PROJECT TYPES &mdash; Commercial Architect || s!&quot; Sara Ashley Richardson, AIA, is the founder and principal owner of Caryatid Architecture Company, a f || hether it's a commercial up-fit, large-scale development, or acting as your project pilot, we approach each an	EMAIL
BVH Architecture	bvh.com	info@bvh.com	ng, reflecting&#8230; Congratulations to New Principal, Evan Gunn! Evan has consistently demonstrated exceptio || ing that where students live&#8230; Meet Our Director of Sustainability This new leadership role enhances BVHΓ || gnation Associate Senior Associate Associate Principal Principal Leadership Todd Afflerbaugh, LEED AP Project	EMAIL
Bench Dog Architects	benchdogarch.com	bitchindesigns@benchdogarch.com	top { display: block; } Michael Bench ΓÇö Co-Founder, Architect ΓÇö Master of (his) Universe ΓÇö Michael Bench || testimonial and a (virtual) hug.","I want to partner with you on our next project.","Just want to meet some co	EMAIL
Arch Resources	archres-inc.com	monika@archres-inc.com;grant@archres-inc.com;philip@archres-inc.com;jim@archres-inc.com;plockman@archres-inc.com;elizabeth@archres-inc.com;peter@archres-inc.com;info@archres-inc.com	display: block; } David S. Wrigley, CSI CCS Director of Specifications at Spillman Farmer Architects ΓÇ£Our f || ir Bavarian heritage, and Monika is the Vice President of Alt Washingtonia Schuhplatter Verein, based in Washi || sources since 2001. In 2018, Peter was named Principal and is focused on growing the business. He consults wit || ResourceΓÇÖs division 8 and 10 distribution partners in Maryland and Northern Virginia. His previous experien || specializes in customer/partner relationship development through education and problem solving, providing CEU || t their Bavarian heritage, and Monika is the Vice President of Alt Washingtonia Schuhplatter Verein, based in || ansparency in order 	EMAIL
AKA Architects	aka-architects.net	info@aka-architects.net	","pageUriSEO":"copy-of-townsquare-community-development","pageJsonFileName":"a1027f_25ed46d3f4e17b766de699ef6 || ,"storesFixPricingPrefixLayout":"B","ecomShowEstimateDeliveryOnSubdivisionError":"B","specs.stores.ProductPage	EMAIL
Mohagen Hansen	mohagenhansen.com	scollins@mohagenhansen.com;knash@mohagenhansen.com;mkruempelstaedter@mohagenhansen.com;bbailey@mohagenhansen.com;lkroen@mohagenhansen.com;bhunke@mohagenhansen.com;tmohagen@mohagenhansen.com;msilvestrini@mohagenhansen.com;info@mohagenhansen.com;pcarr@mohagenhansen.com;screnshaw@mohagenhansen.com;gmenden@mohagenhansen.com;shouge@mohagenhansen.com;soliver@mohagenhansen.com;cjohnson@mohagenhansen.com;emikkonen@mohagenhansen.com;kjones@mohagenhansen.com;callen@mohagenhansen.com;mhansen@mohagenhansen.com;jvliet@mohagenhansen.com;ssiewert@mohagenhansen.com;spaetzel@mohagenhansen.com;shayes@mohagenhansen.com;nmissling@mohagenhansen.com;jjohnson@mohagenhansen.com;skimbrel@mohagenhansen.com;ejeske@mohagenhansen.com;kcranbrook@mohagenhansen.com	the course of a project, our clients become partners in a shared vision; through which we cultivate lasting c || work on. Todd Mohagen | AIA, NCARB Partner | Principal tmohagen@mohagenhansen.com 952.426.7401 Mark L. Hansen || ew Our Work A Look Into Who We Are A Genuine Partner Mohagen Hansen exists to serve our clients by doing what || 952.426.7441 Shannon Crenshaw | CID, LEED AP Director of Interior Design screnshaw@mohagenhansen.com 952.426.7 || oth patients and providers. Industrial &amp; Development Our team delivers functional, forward-thinking design	EMAIL
KOMA	komainc.com	komainc@komainc.com;451-4605komainc@komainc.com	tional and meaningful and developing engaged partnerships with our clients helps yield completed projects that	EMAIL
